,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
Truck,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM,5:30 AM - 7:00 AM
,,,,,,
FOH - Shift Leader,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM,6:00 AM - 3:00 PM
FOH - Shift Leader,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM,2:00 PM - 10:45 PM
FOH - Shift Leader,3:00 PM - 9:00 PM,3:00 PM - 9:00 PM,3:00 PM - 9:00 PM,3:00 PM - 9:00 PM,3:00 PM - 9:00 PM,3:00 PM - 9:00 PM
FOH General,6:00 AM - 11:00 AM,6:00 AM - 11:00 AM,6:00 AM - 11:00 AM,6:00 AM - 11:00 AM,6:00 AM - 11:00 AM,6:00 AM - 11:00 AM
FOH General,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM
FOH General,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM,6:00 AM - 2:00 PM
FOH General,7:15 AM - 2:30 PM,7:15 AM - 2:30 PM,7:15 AM - 2:30 PM,7:15 AM - 2:30 PM,7:15 AM - 2:30 PM,7:15 AM - 2:30 PM
FOH General,6:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM
FOH General,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM,8:00 AM - 2:30 PM
FOH General,7:15 AM - 2:30 PM,7:15 AM - 2:30 PM,7:15 AM - 2:30 PM,7:15 AM - 2:30 PM,7:15 AM - 2:30 PM,7:15 AM - 2:30 PM
FOH General,8:00 AM - 4:00 PM,,,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM,8:00 AM - 4:00 PM
FOH General,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM,8:30 AM - 4:00 PM
FOH General,9:00 AM - 2:30 PM,9:00 AM - 2:30 PM,,9:00 AM - 2:30 PM,9:00 AM - 2:30 PM,9:00 AM - 2:30 PM
FOH General,9:30 AM - 2:30 PM,9:30 AM - 2:30 PM,9:30 AM - 2:30 PM,9:30 AM - 2:30 PM,9:00 AM - 2:30 PM,9:00 AM - 3:00 PM
FOH General,9:30 AM - 2:30 PM,,10:00 AM - 2:30 PM,,,
FOH General,9:30 AM - 2:30 PM,10:00 AM - 2:30 PM,9:30 AM - 4:00 PM,,,9:00 AM - 4:45 PM
